artefact_id,period,raw_material,platform_prep,length_mm,width_mm,thickness_mm,platform_mm,weight_g,giur,elongation
ART-0001,Lower,Quartzite,Faceted,44,25.8,9.5,8.8,5.74,0.159,1.7054263565891472
ART-0002,Lower,Quartzite,Plain,43.7,36.2,14.2,12.3,12.39,0.332,1.207182320441989
ART-0003,Lower,Fine Chert,Abraded,49.5,48.8,9.7,12.1,14.639999999999999,0.226,1.014344262295082
ART-0004,Lower,Basic Chert,Plain,54.6,31.7,13.9,8.5,12.17,0.285,1.7223974763406942
ART-0005,Lower,Quartzite,Plain,21.8,19.4,5.9,5.6,1.33,0.306,1.1237113402061858
ART-0006,Lower,Quartzite,Plain,37.2,27.7,8.2,8.7,4.9,0.203,1.3429602888086645
ART-0007,Lower,Quartzite,Plain,64,64.6,16.8,13.2,37.4,0.275,0.9907120743034057
ART-0008,Lower,Quartzite,Plain,61.6,39.7,15,12.5,19.04,0.251,1.5516372795969773
ART-0009,Lower,Quartzite,Faceted,59.5,50,15.5,9.5,29.58,0.141,1.19
ART-0010,Lower,Basic Chert,Abraded,67,49,17,13.3,26.630000000000003,0.21,1.3673469387755102
ART-0011,Lower,Quartzite,Faceted,52.9,56.6,15.4,9.9,23.86,0.32,0.9346289752650176
ART-0012,Lower,Basic Chert,Faceted,40,35.1,14.5,8.6,10.08,0.487,1.1396011396011396
ART-0013,Lower,Basic Chert,Plain,36.7,25,15.9,6.8,9.02,0.274,1.4680000000000002
ART-0014,Lower,Quartzite,Plain,30.5,31.4,6.9,9.7,4.21,0.19,0.9713375796178344
ART-0015,Lower,Quartzite,Plain,46.5,35.1,15.9,6.2,13.219999999999999,0.418,1.3247863247863247
ART-0016,Lower,Basic Chert,Faceted,51.4,50.7,13.8,9.9,20.4,0.014,1.0138067061143983
ART-0017,Lower,Quartzite,Plain,40.6,37.5,12.6,7.6,12.59,0.54,1.0826666666666667
ART-0018,Lower,Fine Chert,Plain,40.6,29.8,9.3,7.7,6.28,0.377,1.3624161073825503
ART-0019,Lower,Fine Chert,Plain,42.8,25.1,13,8.1,7.28,0.209,1.7051792828685257
ART-0020,Lower,Quartzite,Plain,52.5,47.8,20.8,7.2,36.04,0.276,1.098326359832636
ART-0021,Lower,Basic Chert,Plain,59.3,36.6,15.2,11.5,19.91,0.249,1.6202185792349726
ART-0022,Lower,Quartzite,Faceted,34.6,34.9,10.8,8.8,7.75,0.282,0.9914040114613182
ART-0023,Lower,Basic Chert,Plain,46.6,38.8,16.8,9.2,19.610000000000003,0.221,1.2010309278350517
ART-0024,Lower,Quartzite,Plain,44.6,37.3,13.9,9.5,13.17,0.195,1.1957104557640752
ART-0025,Lower,Quartzite,Plain,44.1,31.4,11.1,8.8,9.69,0.31,1.4044585987261147
ART-0026,Lower,Basic Chert,Plain,60.9,43,13,10,16.459999999999997,0.382,1.416279069767442
ART-0027,Lower,Basic Chert,Plain,48.3,32.4,11.5,9.4,9.34,0.266,1.4907407407407407
ART-0029,Lower,Fine Chert,Abraded,49.8,34.5,8.8,6.4,7.24,0.248,1.443478260869565
ART-0030,Lower,Quartzite,Plain,42.5,40,15.2,8.9,15.31,0.415,1.0625
ART-0032,Lower,Quartzite,Faceted,71.9,59.4,21.3,11.5,49.690000000000005,0.299,1.2104377104377106
ART-0033,Lower,Quartzite,Plain,36,28.8,10.3,10.3,6.05,0.261,1.25
ART-0034,Lower,Basic Chert,Plain,65.8,55.3,16,10.3,38.290000000000006,0.347,1.1898734177215189
ART-0035,Lower,Quartzite,Plain,61.9,54.7,13.6,9.3,28.779999999999998,0.308,1.1316270566727604
ART-0036,Lower,Quartzite,Plain,48.5,47.7,13,10.3,20.19,0.367,1.0167714884696015
ART-0037,Lower,Quartzite,Plain,53.4,42.2,12.8,6.3,14.41,0.399,1.2654028436018956
ART-0038,Lower,Quartzite,Plain,47.9,41.9,13.1,9.4,12.93,0.529,1.1431980906921242
ART-0039,Lower,Quartzite,Plain,33.6,36.5,9.4,7.7,6.06,0.217,0.9205479452054794
ART-0040,Lower,Fine Chert,Plain,53.2,43.2,18.8,8.8,26.14,0.145,1.2314814814814814
ART-0041,Lower,Quartzite,Abraded,45.1,24,14,8.2,8.12,0.094,1.8791666666666667
ART-0042,Lower,Basic Chert,Plain,83.3,64.7,22.3,15.6,64.49000000000001,0.259,1.2874806800618237
ART-0043,Lower,Quartzite,Plain,41.2,32.5,13.1,10.5,12.219999999999999,0.189,1.2676923076923077
ART-0044,Lower,Basic Chert,Plain,29.4,29.3,13.3,8.8,5.91,0.282,1.0034129692832763
ART-0045,Lower,Quartzite,Abraded,50.6,52.7,13.8,8.5,24.01,0.199,0.9601518026565464
ART-0046,Lower,Quartzite,Faceted,75.4,56.6,17.6,9.1,42.97,0.325,1.3321554770318023
ART-0047,Lower,Fine Chert,Faceted,46.6,47.7,17.2,9.2,20.18,0.141,0.9769392033542976
ART-0048,Lower,Quartzite,Faceted,58.8,46.3,14,11.1,22.810000000000002,0.371,1.2699784017278617
ART-0049,Lower,Quartzite,Plain,43.6,38.4,12.8,5.6,10.8,0.118,1.1354166666666667
ART-0050,Lower,Quartzite,Plain,55.9,30.6,14.4,9.8,17.279999999999998,0.317,1.826797385620915
ART-0052,Lower,Quartzite,Plain,60.2,43.3,12.8,8.8,20.66,0.215,1.3903002309468824
ART-0053,Lower,Quartzite,Plain,62.4,49,13.7,10.8,26.72,0.158,1.273469387755102
ART-0054,Lower,Quartzite,Plain,62.1,48.1,12.5,12,18.71,0.373,1.291060291060291
ART-0055,Lower,Quartzite,Plain,40.1,47.2,11.6,6.9,12.42,0.276,0.8495762711864406
ART-0056,Lower,Quartzite,Abraded,64.4,38.1,10.8,16.8,14.41,0.474,1.6902887139107612
ART-0057,Lower,Quartzite,Faceted,35.7,34.7,8.9,8.7,6.8,0.208,1.0288184438040346
ART-0058,Lower,Quartzite,Plain,44.9,29.5,9.3,6.7,8.46,0.321,1.5220338983050847
ART-0059,Lower,Quartzite,Faceted,50.3,41,8.3,5.9,9.41,0.225,1.226829268292683
ART-0060,Lower,Basic Chert,Faceted,52,34.3,17.6,8.7,16.7,0.503,1.5160349854227406
ART-0061,Lower,Quartzite,Abraded,46.4,38,13.5,11.2,11.83,0.197,1.2210526315789474
ART-0062,Lower,Quartzite,Plain,35.3,27.6,5.4,NA,3.06,0.344,1.2789855072463767
ART-0064,Lower,Quartzite,Abraded,45,42.2,11,7.5,12.91,0.18,1.066350710900474
ART-0065,Lower,Basic Chert,Plain,43.2,37.3,16.1,8.9,13.89,0.172,1.158176943699732
ART-0066,Lower,Basic Chert,Plain,41.6,41.2,9.5,8.6,10.209999999999999,0.244,1.0097087378640777
ART-0067,Lower,Fine Chert,Faceted,39.9,22,8.8,8.7,4.67,0.297,1.8136363636363635
ART-0068,Lower,Quartzite,Plain,38.3,32.4,10.6,8.9,8.81,0.415,1.1820987654320987
ART-0069,Lower,Basic Chert,Abraded,58.6,55.8,21.6,11.6,41.52,0.059,1.050179211469534
ART-0070,Lower,Basic Chert,Faceted,48.1,34.1,11.4,10.8,8.65,0.403,1.4105571847507332
