artefact_id,period,raw_material,platform_prep,length_mm,width_mm,thickness_mm,platform_mm,weight_g,giur
ART-0001,Lower,Quartzite,Faceted,44mm,25.8,9.5,8.8,5.74 g,0.159
ART-0002,Lower,Quartzite,Plain,43.7mm,36.2,14.2,12.3,12.39 g,0.332
ART-0003,Lower,Fine chert,Abraded,49.5mm,48.8,9.7,12.1,14.64 g,0.226
ART-0004,Lower,  Basic chert  ,Plain,54.6mm,31.7,13.9,8.5,12.17 g,0.285
ART-0005,Lower,Quartzite,Plain,21.8mm,19.4,5.9,5.6,1.33 g,0.306
ART-0006,Lower,Quartzite,Plain,37.2mm,27.7,8.2,8.7,4.9 g,0.203
ART-0007,Lower,Quartzite,Plain,64mm,64.6,16.8,13.2,37.4 g,0.275
ART-0008,Lower,Quartzite,Plain,61.6mm,39.7,15,12.5,19.04 g,0.251
ART-0009,Lower,Quartzite,Faceted,59.5mm,50,15.5,9.5,29.58 g,0.141
ART-0010,Lower,Basic chert,Abraded,67mm,49,17,13.3,26.63 g,0.21
ART-0011,Lower,Quartzite,Faceted,52.9mm,56.6,15.4,9.9,23.86 g,0.32
ART-0012,Lower,  Basic chert  ,Faceted,40mm,35.1,14.5,8.6,10.08 g,0.487
ART-0013,Lower,BASIC CHERT,Plain,36.7mm,25,15.9,6.8,9.02 g,0.274
ART-0014,Lower,Quartzite,Plain,30.5mm,31.4,6.9,9.7,4.21 g,0.19
ART-0015,Lower,Quartzite,Plain,46.5mm,35.1,15.9,6.2,13.22 g,0.418
ART-0016,Lower,Basic chert,Faceted,51.4mm,50.7,13.8,9.9,20.4 g,0.014
ART-0017,Lower,Quartzite,Plain,40.6mm,37.5,12.6,7.6,12.59 g,0.54
ART-0018,Lower,Fine chert,Plain,40.6mm,29.8,9.3,7.7,6.28 g,0.377
ART-0019,Lower,FINE CHERT,Plain,42.8mm,25.1,13,8.1,7.28 g,0.209
ART-0020,Lower,Quartzite,Plain,52.5mm,47.8,20.8,7.2,36.04 g,0.276
ART-0021,Lower,Basic chert,Plain,59.3mm,36.6,15.2,11.5,19.91 g,0.249
ART-0022,Lower,  Quartzite  ,Faceted,34.6mm,34.9,10.8,8.8,7.75 g,0.282
ART-0023,Lower,Basic chert,Plain,46.6mm,38.8,16.8,9.2,19.61 g,0.221
ART-0024,Lower,Quartzite,Plain,44.6mm,37.3,13.9,9.5,13.17 g,0.195
ART-0025,Lower,Quartzite,Plain,44.1mm,31.4,11.1,8.8,9.69 g,0.31
ART-0026,Lower,  Basic chert  ,Plain,60.9mm,43,13,10,16.46 g,0.382
ART-0027,Lower,Basic chert,Plain,48.3mm,32.4,11.5,9.4,9.34 g,0.266
ART-0028,Lower,BASIC CHERT,Plain,55.2mm,34.3,12.9,7.9,13.56 g,0.334
ART-0029,Lower,Fine chert,Abraded,49.8mm,34.5,8.8,6.4,7.24 g,0.248
ART-0030,Lower,Quartzite,Plain,42.5mm,40,15.2,8.9,15.31 g,0.415
ART-0031,Lower,Quartzite,Faceted,39.4mm,36,8.9,7.3,6.27 g,0.327
ART-0032,Lower,Quartzite,Faceted,71.9mm,59.4,21.3,11.5,49.69 g,0.299
ART-0033,Lower,Quartzite,Plain,36mm,28.8,10.3,10.3,6.05 g,0.261
ART-0034,Lower,BASIC CHERT,Plain,65.8mm,55.3,16,10.3,38.29 g,0.347
ART-0035,Lower,Quartzite,Plain,61.9mm,54.7,13.6,9.3,28.78 g,0.308
ART-0036,Lower,Quartzite,Plain,48.5mm,47.7,13,10.3,20.19 g,0.367
ART-0037,Lower,  Quartzite  ,Plain,53.4mm,42.2,12.8,6.3,14.41 g,0.399
ART-0038,Lower,QUARTZITE,Plain,47.9mm,41.9,13.1,9.4,12.93 g,0.529
ART-0039,Lower,Quartzite,Plain,33.6mm,36.5,9.4,7.7,6.06 g,0.217
ART-0040,Lower,Fine chert,Plain,53.2mm,43.2,18.8,8.8,26.14 g,0.145
ART-0041,Lower,Quartzite,Abraded,45.1mm,24,14,8.2,8.12 g,0.094
